Data long,Data,Numero1,Numero2,Numero3,Numero4,Numero5,Numero6,NumeroJ,NumeroS
23 September 2025,45923,1,6,20,43,59,73,58,89
20 September 2025,45920,2,12,15,31,63,71,50,57
19 September 2025,45919,11,16,23,31,49,78,63,13
18 September 2025,45918,12,38,46,49,60,65,2,46
16 September 2025,45916,1,12,26,44,51,90,72,45
13 September 2025,45913,26,28,31,35,37,65,30,5
12 September 2025,45912,29,33,44,52,63,65,19,84
11 September 2025,45911,3,9,11,35,65,74,26,29
9 September 2025,45909,34,47,71,73,82,90,49,52
6 September 2025,45906,59,73,75,76,78,88,57,5
5 September 2025,45905,9,39,47,52,71,82,83,52
4 September 2025,45904,5,16,38,45,63,83,46,83
2 September 2025,45902,16,19,28,44,60,78,9,73
30 August 2025,45899,30,43,46,62,73,90,35,73
29 August 2025,45898,18,22,32,34,52,56,62,45
28 August 2025,45897,56,59,64,67,72,78,51,86
26 August 2025,45895,12,23,25,34,41,63,21,20
23 August 2025,45892,5,29,40,47,52,80,4,61
22 August 2025,45891,7,25,38,39,66,69,17,24
21 August 2025,45890,49,56,57,61,62,86,16,53
19 August 2025,45888,5,10,51,62,77,81,74,58
18 August 2025,45887,5,19,58,59,83,87,10,32
16 August 2025,45885,6,15,25,31,72,79,54,31
14 August 2025,45883,3,19,30,47,49,75,35,14
12 August 2025,45881,7,11,26,59,82,83,24,54
9 August 2025,45878,6,18,40,41,45,88,37,12
8 August 2025,45877,8,34,38,53,78,79,58,37
7 August 2025,45876,43,55,70,79,83,85,24,4
5 August 2025,45874,6,31,57,60,65,80,12,71
2 August 2025,45871,42,54,66,78,80,88,60,14
1 August 2025,45870,9,25,27,36,54,86,45,31
31 July 2025,45869,14,55,56,57,58,66,46,65
29 July 2025,45867,13,27,31,60,65,75,39,69
26 July 2025,45864,1,9,19,49,53,88,77,44
25 July 2025,45863,15,16,17,36,62,83,7,31
24 July 2025,45862,10,14,37,66,88,89,34,88
22 July 2025,45860,3,8,44,52,69,85,11,67
19 July 2025,45857,5,43,46,56,58,90,23,54
18 July 2025,45856,20,37,50,70,75,88,46,16
17 July 2025,45855,16,35,37,42,43,68,58,8
15 July 2025,45853,4,10,14,48,58,83,47,63
12 July 2025,45850,16,24,25,43,64,78,54,12
11 July 2025,45849,1,31,40,62,64,74,81,11
10 July 2025,45848,5,15,20,32,65,75,12,24
8 July 2025,45846,1,33,40,61,64,73,15,48
5 July 2025,45843,16,46,61,71,75,85,64,12
4 July 2025,45842,26,45,58,65,70,82,27,73
3 July 2025,45841,37,42,49,53,57,65,62,8
1 July 2025,45839,6,9,25,28,75,79,83,20
28 June 2025,45836,10,35,38,41,51,56,3,51
27 June 2025,45835,25,49,54,55,62,73,4,86
26 June 2025,45834,10,56,69,70,79,81,53,45
24 June 2025,45832,2,23,32,36,63,64,37,76
21 June 2025,45829,4,17,28,36,42,50,5,71
20 June 2025,45828,34,67,76,77,86,90,40,43
19 June 2025,45827,4,6,11,31,69,73,9,26
17 June 2025,45825,17,48,52,58,86,87,74,49
14 June 2025,45822,10,18,44,56,73,86,48,55
13 June 2025,45821,8,23,25,48,78,83,80,39
12 June 2025,45820,21,61,69,76,79,81,77,76
10 June 2025,45818,14,45,55,62,76,80,51,17
7 June 2025,45815,5,28,46,49,52,76,83,21
6 June 2025,45814,2,10,33,55,73,74,80,49
5 June 2025,45813,10,17,19,21,63,74,4,60
3 June 2025,45811,1,6,31,37,47,71,26,72
31 May 2025,45808,4,8,47,48,63,90,77,12
30 May 2025,45807,31,34,62,63,82,87,81,77
29 May 2025,45806,27,32,51,67,71,81,35,90
27 May 2025,45804,7,10,35,40,53,75,60,33
24 May 2025,45801,1,3,5,53,62,71,32,53
23 May 2025,45800,2,8,10,18,20,79,13,10
22 May 2025,45799,2,19,23,46,49,72,71,88
20 May 2025,45797,5,19,21,30,33,48,74,39
17 May 2025,45794,10,11,19,22,39,88,29,73
16 May 2025,45793,15,21,30,31,42,80,69,42
15 May 2025,45792,10,28,35,37,73,75,42,27
13 May 2025,45790,2,15,25,62,76,81,89,5
10 May 2025,45787,8,14,17,39,49,55,2,80
9 May 2025,45786,3,47,51,77,85,88,52,39
8 May 2025,45785,1,23,27,54,67,83,65,30
6 May 2025,45783,2,35,51,58,63,88,8,51
5 May 2025,45782,6,18,37,63,72,73,36,28
3 May 2025,45780,1,4,22,44,70,72,18,53
2 May 2025,45779,54,55,67,76,80,85,82,52
29 April 2025,45776,20,31,39,59,60,82,57,10
28 April 2025,45775,13,18,30,44,51,81,38,52
26 April 2025,45773,10,21,24,48,63,67,34,45
24 April 2025,45771,13,14,20,31,55,60,89,25
22 April 2025,45769,10,59,61,62,68,74,43,31
19 April 2025,45766,8,32,51,54,62,69,18,30
18 April 2025,45765,4,11,18,23,83,88,89,70
17 April 2025,45764,8,20,40,44,46,49,63,48
15 April 2025,45762,40,57,60,66,80,81,36,9
12 April 2025,45759,16,38,60,79,83,85,27,36
11 April 2025,45758,9,20,43,49,52,57,61,8
10 April 2025,45757,11,24,32,40,44,85,27,36
8 April 2025,45755,11,20,34,46,48,90,68,81
5 April 2025,45752,5,8,22,41,60,73,18,54
4 April 2025,45751,42,51,71,77,80,82,72,5
3 April 2025,45750,29,30,31,32,35,57,26,6
1 April 2025,45748,4,19,32,47,74,81,10,90
29 March 2025,45745,9,45,66,68,71,85,31,44
28 March 2025,45744,17,26,46,56,71,90,6,22
27 March 2025,45743,28,35,43,45,64,85,13,35
25 March 2025,45741,27,29,31,60,74,88,71,23
22 March 2025,45738,15,28,45,46,66,76,44,43
21 March 2025,45737,7,15,48,49,65,80,67,39
20 March 2025,45736,36,40,49,54,66,83,14,44
18 March 2025,45734,1,64,73,79,80,86,39,68
15 March 2025,45731,2,8,50,77,79,82,85,36
14 March 2025,45730,3,10,20,36,37,49,21,14
13 March 2025,45729,7,25,33,51,58,70,79,31
11 March 2025,45727,22,27,48,55,58,90,63,11
8 March 2025,45724,11,16,35,59,65,87,9,52
7 March 2025,45723,11,24,25,30,43,47,28,5
6 March 2025,45722,1,10,18,19,32,36,20,53
4 March 2025,45720,9,28,52,63,77,79,11,39
1 March 2025,45717,1,12,33,40,41,83,6,67
28 February 2025,45716,4,12,37,59,63,90,70,15
27 February 2025,45715,29,31,33,42,51,72,34,62
25 February 2025,45713,6,58,68,83,89,90,73,50
22 February 2025,45710,35,40,48,49,52,89,24,32
21 February 2025,45709,21,45,48,72,79,87,73,89
20 February 2025,45708,6,19,27,63,71,77,13,70
18 February 2025,45706,3,5,7,54,76,85,89,64
15 February 2025,45703,22,37,48,72,77,85,39,72
14 February 2025,45702,18,30,40,52,60,71,65,70
13 February 2025,45701,31,41,62,64,74,87,84,68
11 February 2025,45699,9,39,55,75,79,86,2,56
8 February 2025,45696,29,46,57,66,72,86,64,40
7 February 2025,45695,16,29,30,47,52,84,10,17
6 February 2025,45694,4,11,41,72,83,86,30,30
4 February 2025,45692,10,29,41,77,83,85,56,80
1 February 2025,45689,21,25,26,45,49,59,68,82
31 January 2025,45688,7,18,22,25,30,72,76,51
30 January 2025,45687,23,32,34,35,41,47,65,2
28 January 2025,45685,48,63,65,72,77,82,85,47
25 January 2025,45682,5,6,24,44,45,76,58,64
24 January 2025,45681,14,20,46,62,84,85,1,78
23 January 2025,45680,1,7,34,46,69,80,64,42
21 January 2025,45678,3,18,41,58,62,73,64,20
18 January 2025,45675,2,10,21,29,46,70,31,59
17 January 2025,45674,8,12,15,40,66,89,7,15
16 January 2025,45673,31,38,59,69,72,88,64,73
14 January 2025,45671,4,15,17,40,64,75,23,80
11 January 2025,45668,5,6,11,22,35,85,30,53
10 January 2025,45667,19,25,33,49,57,72,46,38
9 January 2025,45666,15,33,40,71,74,82,89,15
7 January 2025,45664,7,10,11,29,32,87,34,51
4 January 2025,45661,31,42,43,63,83,86,37,86
3 January 2025,45660,13,30,43,49,74,89,4,32
2 January 2025,45659,19,21,29,74,77,88,7,56
31 December 2024,45657,5,16,23,40,47,80,17,13
30 December 2024,45656,3,8,18,25,58,75,12,54
28 December 2024,45654,28,29,46,68,81,88,79,40
27 December 2024,45653,9,13,15,43,53,68,58,69
24 December 2024,45650,6,18,27,30,52,56,83,80
21 December 2024,45647,23,25,53,55,71,79,63,6
20 December 2024,45646,17,35,43,56,63,85,23,74
19 December 2024,45645,2,4,8,20,22,76,72,60
17 December 2024,45643,3,25,49,58,64,66,46,77
14 December 2024,45640,34,50,52,59,70,83,13,74
13 December 2024,45639,16,42,54,55,65,83,27,90
12 December 2024,45638,20,61,76,78,85,87,44,72
10 December 2024,45636,5,54,68,69,71,81,30,56
7 December 2024,45633,21,30,55,60,70,75,13,25
6 December 2024,45632,21,48,60,61,67,71,86,22
5 December 2024,45631,4,42,45,72,82,84,25,10
3 December 2024,45629,4,17,37,56,73,90,46,11
30 November 2024,45626,27,48,50,69,74,81,13,36
29 November 2024,45625,21,33,44,55,75,80,53,64
28 November 2024,45624,3,8,37,54,74,84,26,26
26 November 2024,45622,13,23,26,31,46,89,43,24
23 November 2024,45619,15,22,29,32,35,67,87,23
22 November 2024,45618,6,26,51,53,78,89,79,70
21 November 2024,45617,4,7,20,24,41,67,85,35
19 November 2024,45615,20,34,36,68,72,74,44,49
16 November 2024,45612,52,56,66,68,70,73,90,12
15 November 2024,45611,2,4,5,42,53,83,23,43
14 November 2024,45610,36,46,69,70,73,82,26,84
12 November 2024,45608,13,28,29,32,39,81,82,36
9 November 2024,45605,26,36,43,51,63,89,21,57
8 November 2024,45604,13,22,49,58,64,75,20,16
7 November 2024,45603,1,50,68,75,81,84,8,25
5 November 2024,45601,32,43,53,75,77,88,81,79
4 November 2024,45600,27,32,33,44,60,89,52,5
2 November 2024,45598,3,19,27,43,61,77,80,41
31 October 2024,45596,18,40,55,58,71,85,46,46
29 October 2024,45594,6,17,26,35,57,64,14,23
26 October 2024,45591,14,31,40,42,52,65,15,69
25 October 2024,45590,5,11,39,41,62,80,78,33
24 October 2024,45589,7,21,23,28,29,31,20,66
22 October 2024,45587,13,23,37,43,64,79,84,20
19 October 2024,45584,14,67,73,86,89,90,8,77
18 October 2024,45583,19,39,41,42,45,88,40,27
17 October 2024,45582,2,23,24,42,46,88,61,27
15 October 2024,45580,1,23,44,45,47,60,14,19
12 October 2024,45577,11,13,16,22,42,51,37,47
11 October 2024,45576,31,34,49,66,75,88,1,16
10 October 2024,45575,6,48,64,80,87,89,43,82
8 October 2024,45573,6,21,25,59,63,68,8,70
5 October 2024,45570,13,41,47,58,81,84,4,81
4 October 2024,45569,5,43,57,58,72,87,3,72
3 October 2024,45568,26,27,40,51,67,86,4,82
1 October 2024,45566,57,60,68,70,80,83,25,64
28 September 2024,45563,4,8,28,33,34,57,27,88
27 September 2024,45562,4,14,42,46,53,60,31,85
26 September 2024,45561,2,13,14,41,52,79,84,12
24 September 2024,45559,2,25,27,50,88,90,19,86
21 September 2024,45556,8,33,35,39,78,83,52,72
20 September 2024,45555,14,22,42,44,47,79,85,29
19 September 2024,45554,3,13,44,45,56,61,33,34
17 September 2024,45552,17,28,62,64,74,84,88,90
14 September 2024,45549,1,31,55,65,76,88,52,34
13 September 2024,45548,2,12,16,18,59,61,56,4
12 September 2024,45547,29,35,65,67,70,80,10,79
10 September 2024,45545,9,11,27,53,63,78,8,88
7 September 2024,45542,1,16,64,70,72,82,34,86
6 September 2024,45541,2,26,37,38,69,85,66,10
5 September 2024,45540,4,5,29,32,69,89,15,46
3 September 2024,45538,6,38,55,71,80,85,23,24
31 August 2024,45535,1,20,27,41,60,77,7,43
30 August 2024,45534,7,34,47,52,74,86,78,7
29 August 2024,45533,5,23,46,52,60,80,79,54
27 August 2024,45531,12,23,36,42,50,71,80,40
24 August 2024,45528,17,28,63,72,75,81,79,51
23 August 2024,45527,5,7,59,70,72,73,33,4
22 August 2024,45526,17,18,24,34,57,82,68,21
20 August 2024,45524,17,23,45,57,64,89,15,31
19 August 2024,45523,4,7,15,24,36,78,65,85
17 August 2024,45521,6,22,43,60,66,73,31,31
16 August 2024,45520,1,6,13,20,73,85,11,73
13 August 2024,45517,41,43,55,65,80,85,76,74
10 August 2024,45514,13,14,49,55,71,77,62,32
9 August 2024,45513,23,40,60,79,80,87,50,69
8 August 2024,45512,3,16,17,54,61,90,4,21
6 August 2024,45510,4,11,85,86,87,88,38,2
3 August 2024,45507,6,37,69,73,79,88,4,7
2 August 2024,45506,34,42,69,76,81,85,36,49
1 August 2024,45505,33,39,78,79,83,84,60,88
30 July 2024,45503,11,13,22,34,54,77,35,72
27 July 2024,45500,13,14,25,34,59,84,71,17
26 July 2024,45499,1,14,21,35,64,85,70,5
25 July 2024,45498,2,21,23,56,69,87,52,42
23 July 2024,45496,24,59,63,64,82,90,62,24
20 July 2024,45493,45,48,50,57,70,71,80,52
19 July 2024,45492,13,20,39,48,74,89,47,50
18 July 2024,45491,13,23,35,36,57,64,47,5
16 July 2024,45489,3,18,26,54,61,72,85,30
13 July 2024,45486,6,9,54,63,64,68,43,84
12 July 2024,45485,43,54,60,70,75,89,30,20
11 July 2024,45484,10,31,40,59,80,85,13,48
9 July 2024,45482,8,26,32,34,53,58,25,78
6 July 2024,45479,18,24,26,33,34,47,35,30
5 July 2024,45478,10,21,23,26,35,50,87,76
4 July 2024,45477,15,25,42,53,56,73,60,61
2 July 2024,45475,4,7,39,71,79,89,1,11
29 June 2024,45472,11,18,25,26,54,84,17,69
28 June 2024,45471,21,26,33,34,45,86,28,80
27 June 2024,45470,13,28,63,76,80,85,21,54
25 June 2024,45468,3,18,49,63,68,82,78,51
22 June 2024,45465,3,25,57,69,71,87,48,62
21 June 2024,45464,21,23,28,59,79,82,74,81
20 June 2024,45463,19,31,39,60,72,80,5,49
18 June 2024,45461,20,32,49,50,51,58,44,59
15 June 2024,45458,6,16,22,69,73,78,67,38
14 June 2024,45457,15,60,82,85,86,87,45,42
13 June 2024,45456,5,22,47,54,63,84,85,82
11 June 2024,45454,14,27,34,47,73,88,52,52
8 June 2024,45451,6,8,14,15,59,79,66,2
7 June 2024,45450,39,51,52,58,72,84,11,37
6 June 2024,45449,43,44,45,50,67,76,69,9
4 June 2024,45447,4,18,28,41,61,75,17,72
1 June 2024,45444,4,13,47,75,80,82,83,22
31 May 2024,45443,14,20,24,49,83,84,62,45
30 May 2024,45442,10,14,16,40,50,55,4,31
28 May 2024,45440,19,41,67,76,82,85,23,10
25 May 2024,45437,2,10,28,37,56,75,41,58
24 May 2024,45436,2,36,39,50,59,64,19,3
23 May 2024,45435,4,10,19,50,71,83,27,11
21 May 2024,45433,3,28,49,72,83,84,5,17
18 May 2024,45430,2,20,31,48,58,59,46,30
17 May 2024,45429,13,14,41,53,60,65,5,45
16 May 2024,45428,10,11,27,31,66,83,25,57
14 May 2024,45426,11,27,39,43,61,85,52,43
11 May 2024,45423,21,29,34,36,46,51,41,60
10 May 2024,45422,6,20,40,55,71,80,12,75
9 May 2024,45421,23,36,38,62,75,81,82,62
7 May 2024,45419,21,23,30,45,68,85,53,89
4 May 2024,45416,5,18,22,34,52,66,33,46
3 May 2024,45415,17,23,43,48,52,66,88,3
2 May 2024,45414,14,43,54,69,80,90,1,57
30 April 2024,45412,6,7,11,20,33,81,74,8
29 April 2024,45411,17,27,44,50,66,85,3,32
27 April 2024,45409,24,27,41,54,62,63,37,37
26 April 2024,45408,9,13,51,61,81,83,24,59
23 April 2024,45405,8,12,20,24,45,73,4,3
20 April 2024,45402,26,34,40,53,60,68,82,19
19 April 2024,45401,9,18,65,70,75,87,53,81
18 April 2024,45400,15,27,42,53,65,85,88,49
16 April 2024,45398,1,3,11,53,75,81,61,26
13 April 2024,45395,1,6,7,11,79,88,15,26
12 April 2024,45394,10,23,47,49,84,85,5,24
11 April 2024,45393,8,31,67,77,81,86,10,62
9 April 2024,45391,15,23,31,45,51,58,60,64
6 April 2024,45388,14,33,53,54,64,78,39,85
5 April 2024,45387,23,40,42,60,62,63,26,80
4 April 2024,45386,8,33,36,41,51,68,71,8
2 April 2024,45384,28,39,40,44,72,76,52,52
30 March 2024,45381,8,25,28,45,54,66,89,28
29 March 2024,45380,20,30,32,38,61,67,60,6
28 March 2024,45379,5,9,22,69,74,84,80,83
26 March 2024,45377,2,24,43,74,81,85,63,40
23 March 2024,45374,32,34,57,58,67,79,61,66
22 March 2024,45373,13,16,59,66,77,79,82,75
21 March 2024,45372,2,8,17,73,77,84,4,84
19 March 2024,45370,4,19,58,60,67,82,48,29
16 March 2024,45367,12,38,45,66,70,73,58,85
15 March 2024,45366,5,6,7,50,72,74,82,26
14 March 2024,45365,14,23,51,55,68,76,77,86
12 March 2024,45363,7,25,46,67,69,86,23,77
9 March 2024,45360,10,30,36,49,55,62,32,66
8 March 2024,45359,9,16,23,50,53,79,55,84
7 March 2024,45358,3,13,24,60,70,75,71,30
5 March 2024,45356,16,43,53,79,80,82,74,61
2 March 2024,45353,26,50,51,55,85,87,14,19
1 March 2024,45352,5,16,44,61,80,90,25,16
29 February 2024,45351,13,28,36,41,79,88,30,32
27 February 2024,45349,27,33,41,73,79,90,34,39
24 February 2024,45346,41,43,46,47,63,87,30,44
23 February 2024,45345,38,54,57,66,74,88,75,57
22 February 2024,45344,29,30,43,44,75,87,1,85
20 February 2024,45342,5,30,36,43,48,78,79,51
17 February 2024,45339,3,11,25,34,46,64,53,75
16 February 2024,45338,20,30,37,83,88,89,77,66
15 February 2024,45337,34,38,61,71,74,83,80,79
13 February 2024,45335,27,34,37,42,53,76,60,55
10 February 2024,45332,43,62,72,73,85,86,58,17
9 February 2024,45331,6,22,29,42,48,66,56,81
8 February 2024,45330,2,4,24,62,73,75,1,49
6 February 2024,45328,26,34,39,46,54,89,13,11
3 February 2024,45325,6,10,12,34,66,77,19,58
2 February 2024,45324,2,35,38,44,68,83,50,73
1 February 2024,45323,3,44,74,81,87,89,85,66
30 January 2024,45321,5,10,76,82,83,89,25,49
27 January 2024,45318,17,33,38,43,49,80,69,30
26 January 2024,45317,24,32,36,47,50,78,62,72
25 January 2024,45316,27,29,30,53,54,86,34,57
23 January 2024,45314,11,15,16,42,48,52,1,16
20 January 2024,45311,2,19,56,58,63,71,22,14
19 January 2024,45310,21,22,28,50,55,68,38,35
18 January 2024,45309,14,26,36,60,62,84,73,68
16 January 2024,45307,21,39,51,59,68,86,63,48
13 January 2024,45304,4,43,45,55,56,60,5,55
12 January 2024,45303,11,23,25,72,78,84,20,40
11 January 2024,45302,45,56,59,69,73,77,7,81
9 January 2024,45300,10,19,23,39,40,83,73,13
8 January 2024,45299,20,28,42,48,51,62,72,47
4 January 2024,45295,7,9,29,51,60,70,59,41
2 January 2024,45293,2,9,16,35,46,63,49,5
30 December 2023,45290,23,43,45,53,66,69,4,59
29 December 2023,45289,13,46,47,67,68,90,55,40
28 December 2023,45288,15,36,57,58,79,86,35,47
23 December 2023,45283,8,10,49,57,79,81,36,65
22 December 2023,45282,1,8,46,57,73,79,67,32
21 December 2023,45281,19,32,38,62,77,79,90,83
19 December 2023,45279,20,26,30,33,54,83,89,64
18 December 2023,45278,3,4,14,15,65,85,33,43
16 December 2023,45276,13,22,23,42,47,87,67,69
15 December 2023,45275,52,63,67,71,83,89,23,46
14 December 2023,45274,22,28,37,39,53,86,78,70
12 December 2023,45272,4,27,47,57,59,89,7,4
11 December 2023,45271,1,41,46,50,84,89,37,19
9 December 2023,45269,3,20,27,41,59,82,24,31
7 December 2023,45267,5,19,42,44,68,84,72,38
5 December 2023,45265,4,6,16,39,41,44,23,78
2 December 2023,45262,19,24,29,53,74,83,70,40
1 December 2023,45261,11,22,33,44,65,66,87,17
30 November 2023,45260,27,38,41,81,84,86,49,69
28 November 2023,45258,6,14,49,52,67,68,80,25
25 November 2023,45255,11,27,28,55,58,73,49,12
24 November 2023,45254,4,13,28,30,47,59,61,56
23 November 2023,45253,1,37,61,68,71,83,52,25
21 November 2023,45251,30,59,61,86,88,90,43,77
18 November 2023,45248,5,51,52,60,62,80,22,23
17 November 2023,45247,14,23,63,70,75,89,59,83
16 November 2023,45246,9,10,19,40,52,56,50,42
14 November 2023,45244,35,38,39,51,74,80,4,20
11 November 2023,45241,16,22,23,25,62,82,5,11
10 November 2023,45240,7,45,58,62,69,76,66,37
9 November 2023,45239,14,68,70,84,85,87,45,16
7 November 2023,45237,10,30,36,64,69,76,68,88
4 November 2023,45234,16,52,59,63,84,90,32,55
3 November 2023,45233,52,64,68,76,84,87,14,6
2 November 2023,45232,17,29,40,56,60,80,33,2
31 October 2023,45230,3,42,54,69,73,80,68,29
28 October 2023,45227,4,9,25,30,57,66,79,77
27 October 2023,45226,23,40,49,57,68,69,56,56
26 October 2023,45225,11,19,28,34,38,45,1,31
24 October 2023,45223,8,18,41,54,75,79,42,8
21 October 2023,45220,23,35,37,58,61,73,50,13
20 October 2023,45219,14,21,24,49,71,81,5,17
19 October 2023,45218,10,18,45,55,66,70,75,53
17 October 2023,45216,16,28,39,40,63,85,12,33
14 October 2023,45213,4,6,52,79,81,83,45,53
13 October 2023,45212,24,29,40,55,56,77,49,79
12 October 2023,45211,5,7,10,14,20,36,54,11
10 October 2023,45209,1,39,45,49,87,88,30,41
7 October 2023,45206,12,35,37,42,55,58,63,13
6 October 2023,45205,33,36,48,62,82,90,8,61
5 October 2023,45204,20,22,39,65,69,71,38,53
3 October 2023,45202,12,13,20,54,67,84,66,77
30 September 2023,45199,17,25,64,66,74,76,49,78
29 September 2023,45198,6,35,48,53,81,86,47,71
28 September 2023,45197,9,25,40,58,85,86,11,34
26 September 2023,45195,41,43,45,60,66,78,30,75
23 September 2023,45192,22,27,38,51,80,82,24,31
22 September 2023,45191,3,58,67,69,70,84,5,11
21 September 2023,45190,4,21,29,31,45,59,42,2
19 September 2023,45188,9,11,41,52,86,89,36,9
16 September 2023,45185,23,27,53,55,74,86,79,65
15 September 2023,45184,5,12,42,51,55,80,35,60
14 September 2023,45183,23,29,41,55,76,79,11,5
12 September 2023,45181,26,28,41,47,81,84,70,70
9 September 2023,45178,6,17,28,43,46,76,61,84
8 September 2023,45177,13,30,42,58,80,86,33,72
7 September 2023,45176,2,15,34,40,57,89,88,73
5 September 2023,45174,14,19,20,26,33,65,15,36
2 September 2023,45171,7,14,15,49,86,90,82,19
1 September 2023,45170,18,53,57,67,75,80,77,39
31 August 2023,45169,9,15,61,66,72,73,2,79
29 August 2023,45167,52,53,56,69,82,90,6,50
26 August 2023,45164,8,11,23,59,73,75,14,11
25 August 2023,45163,4,12,41,57,77,78,40,3
24 August 2023,45162,3,34,54,67,71,77,2,49
22 August 2023,45160,32,45,47,61,67,75,6,83
19 August 2023,45157,5,6,18,23,49,61,22,82
18 August 2023,45156,5,13,41,58,70,73,1,28
17 August 2023,45155,10,12,14,53,63,71,41,41
14 August 2023,45152,6,28,46,64,77,82,20,15
12 August 2023,45150,2,40,48,78,81,90,55,14
11 August 2023,45149,31,45,46,52,69,83,76,34
10 August 2023,45148,9,21,43,49,53,86,68,62
8 August 2023,45146,3,4,5,71,81,82,64,10
5 August 2023,45143,7,9,17,18,47,81,61,20
4 August 2023,45142,5,21,57,71,72,84,66,11
3 August 2023,45141,4,6,9,33,65,73,48,12
1 August 2023,45139,11,32,36,40,54,63,78,57
29 July 2023,45136,27,39,58,60,68,85,45,82
28 July 2023,45135,1,23,33,50,55,78,45,82
27 July 2023,45134,18,39,48,50,57,83,38,55
25 July 2023,45132,6,30,48,69,71,74,62,22
22 July 2023,45129,2,37,50,65,68,90,67,60
21 July 2023,45128,13,38,52,56,73,90,7,24
20 July 2023,45127,14,41,47,62,65,88,39,37
18 July 2023,45125,22,45,49,52,60,65,23,26
15 July 2023,45122,40,45,51,52,56,78,30,5
14 July 2023,45121,38,41,43,55,61,71,59,75
13 July 2023,45120,20,38,49,50,53,64,72,62
11 July 2023,45118,39,41,58,64,71,77,9,74
8 July 2023,45115,8,18,20,28,41,56,58,55
7 July 2023,45114,1,13,23,73,83,85,79,3
6 July 2023,45113,5,17,27,38,53,57,30,16
4 July 2023,45111,11,23,50,68,89,90,41,32
1 July 2023,45108,17,39,41,43,87,89,33,44
29 June 2023,45106,1,27,38,41,79,81,39,29
27 June 2023,45104,31,46,57,70,71,80,75,8
24 June 2023,45101,1,21,32,35,59,86,38,6
22 June 2023,45099,21,30,38,65,67,90,77,7
20 June 2023,45097,7,42,56,69,74,76,45,4
17 June 2023,45094,12,18,26,40,53,63,54,58
15 June 2023,45092,4,9,21,24,52,71,8,58
13 June 2023,45090,6,37,53,54,72,84,74,84
10 June 2023,45087,8,30,33,40,64,78,42,59
8 June 2023,45085,3,8,58,66,82,87,69,55
6 June 2023,45083,17,26,51,54,61,62,73,8
3 June 2023,45080,27,39,56,58,63,64,55,38
1 June 2023,45078,2,37,64,83,89,90,34,23
30 May 2023,45076,10,22,37,55,76,87,60,43
27 May 2023,45073,12,41,64,78,79,88,58,86
25 May 2023,45071,20,22,33,38,40,51,44,76
23 May 2023,45069,13,23,26,27,50,63,71,1
20 May 2023,45066,18,32,37,46,64,70,30,44
18 May 2023,45064,5,16,35,63,69,77,29,3
16 May 2023,45062,20,42,52,67,72,77,82,3
13 May 2023,45059,3,31,35,57,82,84,68,16
